,Origin,Total Population,New Pop
0,,0.0,0.0
1,,0.0,0.0
2,,0.0,0.0
3,,0.0,0.0
4,,0.0,0.0
5,,0.0,0.0
6,,0.0,0.0
7,,0.0,0.0
8,,0.0,0.0
9,,0.0,0.0
10,,0.0,0.0
11,,0.0,0.0
12,,0.0,0.0
13,,0.0,0.0
14,,0.0,0.0
15,,0.0,0.0
16,,0.0,0.0
17,,0.0,0.0
18,,0.0,0.0
19,,0.0,0.0
20,,0.0,0.0
21,,0.0,0.0
22,,0.0,0.0
23,,0.0,0.0
24,,0.0,0.0
25,,0.0,0.0
26,,0.0,0.0
27,,0.0,0.0
28,,0.0,0.0
29,,0.0,0.0
30,,0.0,0.0
31,,0.0,0.0
32,,0.0,0.0
33,,0.0,0.0
34,,0.0,0.0
35,,0.0,0.0
36,,0.0,0.0
37,,0.0,0.0
38,,0.0,0.0
39,,0.0,0.0
40,,0.0,0.0
41,,0.0,0.0
42,,0.0,0.0
43,,0.0,0.0
44,,0.0,0.0
45,,0.0,0.0
46,,0.0,0.0
47,,0.0,0.0
48,,0.0,0.0
49,,0.0,0.0
50,,0.0,0.0
51,,0.0,0.0
52,,0.0,0.0
53,,0.0,0.0
54,,0.0,0.0
55,,0.0,0.0
56,,0.0,0.0
57,,0.0,0.0
58,,0.0,0.0
59,,0.0,0.0
60,,0.0,0.0
61,,0.0,0.0
62,,0.0,0.0
63,,0.0,0.0
64,,0.0,0.0
65,,0.0,0.0
66,,0.0,0.0
67,,0.0,0.0
68,,0.0,0.0
69,,0.0,0.0
70,,0.0,0.0
71,,0.0,0.0
72,,0.0,0.0
73,,0.0,0.0
74,,0.0,0.0
75,,0.0,0.0
76,,0.0,0.0
77,,0.0,0.0
78,,0.0,0.0
79,,0.0,0.0
80,,0.0,0.0
81,,0.0,0.0
82,,0.0,0.0
83,,0.0,0.0
84,,0.0,0.0
85,,0.0,0.0
86,,0.0,0.0
87,,0.0,0.0
88,,0.0,0.0
89,,0.0,0.0
90,,0.0,0.0
91,,0.0,0.0
92,,0.0,0.0
93,,0.0,0.0
94,,0.0,0.0
95,,0.0,0.0
96,,0.0,0.0
97,,0.0,0.0
98,,0.0,0.0
99,,0.0,0.0
100,,0.0,0.0
101,,0.0,0.0
102,,0.0,0.0
103,,0.0,0.0
104,,0.0,0.0
105,,0.0,0.0
106,,0.0,0.0
107,,0.0,0.0
108,,0.0,0.0
109,,0.0,0.0
110,,0.0,0.0
111,,0.0,0.0
112,,0.0,0.0
113,,0.0,0.0
114,,0.0,0.0
115,,0.0,0.0
116,,0.0,0.0
117,,0.0,0.0
118,,0.0,0.0
119,,0.0,0.0
120,,0.0,0.0
121,,0.0,0.0
122,,0.0,0.0
123,,0.0,0.0
124,,0.0,0.0
125,,0.0,0.0
126,,0.0,0.0
127,,0.0,0.0
128,,0.0,0.0
129,,0.0,0.0
130,,0.0,0.0
131,,0.0,0.0
132,,0.0,0.0
133,,0.0,0.0
134,,0.0,0.0
135,,0.0,0.0
136,,0.0,0.0
137,,0.0,0.0
138,,0.0,0.0
139,,0.0,0.0
140,,0.0,0.0
141,,0.0,0.0
142,,0.0,0.0
143,,0.0,0.0
144,,0.0,0.0
145,,0.0,0.0
146,,0.0,0.0
147,,0.0,0.0
148,,0.0,0.0
149,,0.0,0.0
150,,0.0,0.0
151,,0.0,0.0
152,,0.0,0.0
153,,0.0,0.0
154,,0.0,0.0
155,,0.0,0.0
156,,0.0,0.0
157,,0.0,0.0
158,,0.0,0.0
159,,0.0,0.0
160,,0.0,0.0
161,,0.0,0.0
162,,0.0,0.0
163,,0.0,0.0
164,,0.0,0.0
165,,0.0,0.0
166,,0.0,0.0
167,,0.0,0.0
168,,0.0,0.0
169,,0.0,0.0
170,,0.0,0.0
171,,0.0,0.0
172,,0.0,0.0
173,,0.0,0.0
174,,0.0,0.0
175,,0.0,0.0
176,,0.0,0.0
177,,0.0,0.0
178,,0.0,0.0
179,,0.0,0.0
180,,0.0,0.0
181,,0.0,0.0
182,,0.0,0.0
183,,0.0,0.0
184,,0.0,0.0
185,,0.0,0.0
186,,0.0,0.0
187,,0.0,0.0
188,,0.0,0.0
189,,0.0,0.0
190,,0.0,0.0
191,,0.0,0.0
192,,0.0,0.0
193,,0.0,0.0
194,,0.0,0.0
195,,0.0,0.0
196,,0.0,0.0
197,,0.0,0.0
198,,0.0,0.0
199,,0.0,0.0
200,,0.0,0.0
201,,0.0,0.0
202,,0.0,0.0
203,,0.0,0.0
204,,0.0,0.0
205,,0.0,0.0
206,,0.0,0.0
207,,0.0,0.0
208,,0.0,0.0
209,,0.0,0.0
210,,0.0,0.0
211,,0.0,0.0
212,,0.0,0.0
213,,0.0,0.0
214,,0.0,0.0
215,,0.0,0.0
216,,0.0,0.0
217,,0.0,0.0
218,,0.0,0.0
219,,0.0,0.0
220,,0.0,0.0
221,,0.0,0.0
222,,0.0,0.0
223,,0.0,0.0
224,,0.0,0.0
225,,0.0,0.0
226,,0.0,0.0
227,,0.0,0.0
228,,0.0,0.0
229,,0.0,0.0
230,,0.0,0.0
231,,0.0,0.0
232,,0.0,0.0
233,,0.0,0.0
234,,0.0,0.0
235,,0.0,0.0
236,,0.0,0.0
237,,0.0,0.0
238,,0.0,0.0
239,,0.0,0.0
240,,0.0,0.0
241,,0.0,0.0
242,,0.0,0.0
243,,0.0,0.0
244,,0.0,0.0
245,,0.0,0.0
246,,0.0,0.0
247,,0.0,0.0
248,,0.0,0.0
249,,0.0,0.0
250,,0.0,0.0
251,,0.0,0.0
252,,0.0,0.0
253,,0.0,0.0
254,,0.0,0.0
255,,0.0,0.0
256,,0.0,0.0
257,,0.0,0.0
258,,0.0,0.0
259,,0.0,0.0
260,,0.0,0.0
261,,0.0,0.0
262,,0.0,0.0
263,,0.0,0.0
264,,0.0,0.0
265,,0.0,0.0
266,,0.0,0.0
267,,0.0,0.0
268,,0.0,0.0
269,,0.0,0.0
270,,0.0,0.0
271,,0.0,0.0
272,,0.0,0.0
273,,0.0,0.0
274,,0.0,0.0
275,,0.0,0.0
276,,0.0,0.0
277,,0.0,0.0
278,,0.0,0.0
279,,0.0,0.0
280,,0.0,0.0
281,,0.0,0.0
282,,0.0,0.0
283,,0.0,0.0
284,,0.0,0.0
285,,0.0,0.0
286,,0.0,0.0
287,,0.0,0.0
288,,0.0,0.0
289,,0.0,0.0
290,,0.0,0.0
291,,0.0,0.0
292,,0.0,0.0
293,,0.0,0.0
294,,0.0,0.0
295,,0.0,0.0
296,,0.0,0.0
297,,0.0,0.0
298,,0.0,0.0
299,,0.0,0.0
300,,0.0,0.0
301,,0.0,0.0
302,,0.0,0.0
303,,0.0,0.0
304,,0.0,0.0
305,,0.0,0.0
306,,0.0,0.0
307,,0.0,0.0
308,,0.0,0.0
309,,0.0,0.0
310,,0.0,0.0
311,,0.0,0.0
312,,0.0,0.0
313,,0.0,0.0
314,,0.0,0.0
315,,0.0,0.0
316,,0.0,0.0
317,,0.0,0.0
318,,0.0,0.0
319,,0.0,0.0
320,,0.0,0.0
321,,0.0,0.0
322,,0.0,0.0
323,,0.0,0.0
324,,0.0,0.0
325,,0.0,0.0
326,,0.0,0.0
327,,0.0,0.0
328,,0.0,0.0
329,,0.0,0.0
330,,0.0,0.0
331,,0.0,0.0
332,,0.0,0.0
333,,0.0,0.0
334,,0.0,0.0
335,,0.0,0.0
336,,0.0,0.0
337,,0.0,0.0
338,,0.0,0.0
339,,0.0,0.0
340,,0.0,0.0
341,,0.0,0.0
342,,0.0,0.0
343,,0.0,0.0
344,,0.0,0.0
345,Various/Unknown,40000.0,4000.0
346,,0.0,0.0
347,,0.0,0.0
348,,0.0,0.0
349,,0.0,0.0
350,Various/Unknown,40000.0,4000.0
351,,0.0,0.0
352,,0.0,0.0
353,,0.0,0.0
354,,0.0,0.0
355,Cuba,37800.0,3780.0
356,Various/Unknown,200.0,20.0
357,,0.0,0.0
358,,0.0,0.0
359,,0.0,0.0
360,Various/Unknown,36800.0,3680.0
361,Cuba,200.0,20.0
362,,0.0,0.0
363,,0.0,0.0
364,,0.0,0.0
365,Various/Unknown,35200.0,3520.0
366,,0.0,0.0
367,,0.0,0.0
368,,0.0,0.0
369,,0.0,0.0
370,Various/Unknown,34000.0,3400.0
371,,0.0,0.0
372,,0.0,0.0
373,,0.0,0.0
374,,0.0,0.0
375,Various/Unknown,32000.0,3200.0
376,,0.0,0.0
377,,0.0,0.0
378,,0.0,0.0
379,,0.0,0.0
380,Various/Unknown,30000.0,3000.0
381,,0.0,0.0
382,,0.0,0.0
383,,0.0,0.0
384,,0.0,0.0
385,Various/Unknown,36000.0,3600.0
386,,0.0,0.0
387,,0.0,0.0
388,,0.0,0.0
389,,0.0,0.0
390,Various/Unknown,35000.0,3500.0
391,,0.0,0.0
392,,0.0,0.0
393,,0.0,0.0
394,,0.0,0.0
395,Various/Unknown,25000.0,2500.0
396,,0.0,0.0
397,,0.0,0.0
398,,0.0,0.0
399,,0.0,0.0
400,Various/Unknown,24000.0,2400.0
401,,0.0,0.0
402,,0.0,0.0
403,,0.0,0.0
404,,0.0,0.0
405,Various/Unknown,24000.0,2400.0
406,,0.0,0.0
407,,0.0,0.0
408,,0.0,0.0
409,,0.0,0.0
410,Various/Unknown,5400.0,540.0
411,,0.0,0.0
412,,0.0,0.0
413,,0.0,0.0
414,,0.0,0.0
415,Various/Unknown,5400.0,540.0
416,,0.0,0.0
417,,0.0,0.0
418,,0.0,0.0
419,,0.0,0.0
420,Various/Unknown,5020.0,502.0
421,Uruguay,240.0,24.0
422,Vietnam,140.0,14.0
423,,0.0,0.0
424,,0.0,0.0
425,Various/Unknown,5260.0,526.0
426,Vietnam,90.0,9.0
427,,0.0,0.0
428,,0.0,0.0
429,,0.0,0.0
430,Various/Unknown,5140.0,514.0
431,Vietnam,90.0,9.0
432,Chile,70.0,7.0
433,,0.0,0.0
434,,0.0,0.0
435,Various/Unknown,5280.0,528.0
436,,0.0,0.0
437,,0.0,0.0
438,,0.0,0.0
439,,0.0,0.0
440,Various/Unknown,5332.0,533.2
441,,0.0,0.0
442,,0.0,0.0
443,,0.0,0.0
444,,0.0,0.0
445,Various/Unknown,5331.0,533.1
446,,0.0,0.0
447,,0.0,0.0
448,,0.0,0.0
449,,0.0,0.0
450,Various/Unknown,5335.0,533.5
451,,0.0,0.0
452,,0.0,0.0
453,,0.0,0.0
454,,0.0,0.0
455,Various/Unknown,5389.0,538.9
456,,0.0,0.0
457,,0.0,0.0
458,,0.0,0.0
459,,0.0,0.0
460,Various/Unknown,5489.0,548.9
461,,0.0,0.0
462,,0.0,0.0
463,,0.0,0.0
464,,0.0,0.0
465,Various/Unknown,4636.0,463.6
466,Angola,1365.0,136.5
467,Dem. Rep. of the Congo,142.0,14.2
468,Liberia,55.0,5.5
469,Chile,27.0,2.7
470,Angola,1228.0,122.8
471,Various/Unknown,555.0,55.5
472,Liberia,211.0,21.1
473,Dem. Rep. of the Congo,143.0,14.3
474,Chile,117.0,11.7
475,Angola,1266.0,126.6
476,Various/Unknown,164.0,16.4
477,Liberia,150.0,15.0
478,Dem. Rep. of the Congo,143.0,14.3
479,Chile,83.0,8.3
480,Angola,1212.0,121.2
481,Various/Unknown,299.0,29.9
482,Liberia,203.0,20.3
483,Dem. Rep. of the Congo,147.0,14.7
484,Cuba,69.0,6.9
485,Angola,1289.0,128.9
486,Liberia,243.0,24.3
487,Dem. Rep. of the Congo,147.0,14.7
488,Various/Unknown,123.0,12.3
489,Cuba,87.0,8.7
490,Angola,1272.0,127.2
491,Liberia,244.0,24.4
492,Dem. Rep. of the Congo,164.0,16.4
493,Cuba,91.0,9.1
494,Various/Unknown,71.0,7.1
495,Angola,1368.0,136.8
496,Liberia,252.0,25.2
497,Dem. Rep. of the Congo,163.0,16.3
498,Cuba,87.0,8.7
499,Sierra Leone,71.0,7.1
500,Angola,1785.0,178.5
501,Liberia,258.0,25.8
502,Romania,242.0,24.2
503,Dem. Rep. of the Congo,190.0,19.0
504,Sierra Leone,146.0,14.6
505,Angola,1897.0,189.7
506,Liberia,261.0,26.1
507,Romania,246.0,24.6
508,Dem. Rep. of the Congo,199.0,19.9
509,Sierra Leone,199.0,19.9
510,Angola,2034.0,203.4
511,Liberia,300.0,30.0
512,Dem. Rep. of the Congo,209.0,20.9
513,Sierra Leone,170.0,17.0
514,Romania,140.0,14.0
515,Angola,2033.0,203.3
516,Liberia,304.0,30.4
517,Dem. Rep. of the Congo,198.0,19.8
518,Sierra Leone,159.0,15.9
519,Romania,156.0,15.6
520,Angola,2093.0,209.3
521,Liberia,311.0,31.1
522,Dem. Rep. of the Congo,224.0,22.4
523,Sierra Leone,161.0,16.1
524,Colombia,140.0,14.0
525,Colombia,4403.0,440.3
526,Angola,1764.0,176.4
527,Liberia,263.0,26.3
528,Dem. Rep. of the Congo,236.0,23.6
529,Cuba,138.0,13.8
530,Colombia,17498.0,1749.8
531,Angola,1689.0,168.9
532,Dem. Rep. of the Congo,315.0,31.5
533,Liberia,258.0,25.8
534,Cuba,150.0,15.0
535,Colombia,17579.0,1757.9
536,Angola,1679.0,167.9
537,Dem. Rep. of the Congo,338.0,33.8
538,Liberia,257.0,25.7
539,Cuba,187.0,18.7
540,Angola,1671.0,167.1
541,Colombia,635.0,63.5
542,Dem. Rep. of the Congo,464.0,46.4
543,Liberia,254.0,25.4
544,Iraq,186.0,18.6
545,Angola,1684.0,168.4
546,Colombia,636.0,63.6
547,Dem. Rep. of the Congo,413.0,41.3
548,Liberia,260.0,26.0
549,Iraq,204.0,20.4
550,Angola,1704.0,170.4
551,Colombia,625.0,62.5
552,Haiti,595.0,59.5
553,Dem. Rep. of the Congo,455.0,45.5
554,Liberia,259.0,25.9
555,Haiti,3875.0,387.5
556,Angola,1709.0,170.9
557,Colombia,764.0,76.4
558,Dem. Rep. of the Congo,505.0,50.5
559,Liberia,259.0,25.9
560,Haiti,5583.0,558.3
561,Angola,1711.0,171.1
562,Colombia,985.0,98.5
563,Dem. Rep. of the Congo,606.0,60.6
564,Liberia,248.0,24.8
565,Haiti,12321.0,1232.1
566,Bangladesh,1711.0,171.1
567,Colombia,1270.0,127.0
568,Angola,1104.0,110.4
569,Senegal,826.0,82.6
570,Haiti,29241.0,2924.1
571,Senegal,2254.0,225.4
572,Bangladesh,1951.0,195.1
573,Syrian Arab Rep.,1815.0,181.5
574,Colombia,1371.0,137.1
575,Haiti,6271.0,627.1
576,Senegal,5219.0,521.9
577,Syrian Arab Rep.,3425.0,342.5
578,Angola,2247.0,224.7
579,Nigeria,2181.0,218.1
580,Haiti,29843.0,2984.3
581,Senegal,5295.0,529.5
582,Venezuela (Bolivarian Republic of),4332.0,433.2
583,Syrian Arab Rep.,3800.0,380.0
584,Angola,3534.0,353.4
585,,0.0,0.0
586,,0.0,0.0
587,,0.0,0.0
588,,0.0,0.0
589,,0.0,0.0
