Year,Inflation Rate
1945,11.11
1946,22.22
1947,2.73
1948,7.96
1949,12.30
1950,12.41
1951,12.34
1952,12.72
1953,20.51
1954,25.86
1955,12.15
1956,24.55
1957,6.96
1958,24.39
1959,39.43
1960,30.47
1961,47.78
1962,51.60
1963,79.92
1964,92.12
1965,34.24
1966,39.12
1967,25.01
1968,25.49
1969,19.31
1970,19.26
1971,19.47
1972,15.72
1973,15.54
1974,34.55
1975,29.35
1976,46.26
1977,38.78
1978,40.81
1979,77.25
1980,110.24
1981,95.20
1982,99.72
1983,210.99
1984,223.81
1985,235.11
1986,65.03
1987,415.83
1988,1037.56
1989,1782.89
1990,1476.71
1991,480.23
1992,1157.83
1993,2708.17
1994,1093.89
1995,14.78
1996,9.34
1997,7.48
1998,1.70
1999,19.98
2000,9.81
2001,10.40
2002,26.41
2003,7.67
2004,12.14
2005,1.22
2006,3.79
2007,7.89
2008,9.10
2009,-1.43
2010,11.30
2011,5.00
2012,8.10
2013,5.52
2014,3.78
2015,10.70
2016,7.18