Year,Event,Scale
1900,,2
1901,,2
1902,,2
1903,,2
1904,,2
1905,,2
1906,,2
1907,,2
1908,,2
1909,,2
1910,,2
1911,,2
1912,According to Wiki - dispute between landowners and renters?,3
1913,,2
1914,,3
1915,,3
1916,,2
1917,Brazil declares war on Germany,4
1918,,3
1919,,3
1920,,4
1921,,3
1922,,2
1923,,3
1924,,3
1925,,3
1926,,4
1927,,3
1928,,6.5
1929,,8
1930,Brazilian revolution - enter dictator Vargas,8
1931,,8
1932,,6.5
1933,,6
1934,,7
1935,,8
1936,,7
1937,Vargas becomes authoritarian and starts taking rights away.,9
1938,,8
1939,,6
1940,,5
1941,,4
1942,,4
1943,,5
1944,,6
1945,Military coup and constitutional crisis,8
1946,,7
1947,,6
1948,,5
1949,,4
1950,,3
1951,,4
1952,,4
1953,,5
1954,Vargas comes back - terrible news! ,6
1955,,5
1956,,4
1957,,3
1958,,3
1959,,4
1960,Constitutional Crisis,7
1961,,6
1962,,6
1963,,8
1964,Military coup and no rights for anyone,9
1965,,8
1966,,7
1967,,4
1968,,3
1969,,3
1970,,4
1971,,3
1972,,4
1973,,5
1974,,5
1975,,4
1976,,3
1977,,4
1978,,3
1979,,3
1980,,4
1981,,5
1982,,4
1983,,4
1984,,5
1985,Cruzado's plan,7
1986,,7
1987,,6
1988,,7
1989,Inflation peaks!,8
1990,,9
1991,,8
1992,,6
1993,,4
1994,Plano real,4
1995,,5
1996,,4
1997,,3
1998,,4
1999,,4
2000,Big unrest at the 500th anniversary between indigenous folks and afro-brazilians,7
2001,,4
2002,,2
2003,,3
2004,Red April?,6
2005,,4
2006,,5
2007,,3
2008,,4
2009,,3
2010,,3
2011,Protests for the Olympics,6
2012,,6
2013,,4
2014,,3
2015,Zika,5
2016,Dilma is impeached,5
2017,,4
2018,,3
2019,,3
2020,,2
2021,,